modeling_column,response_2024,response_2017
POSNEG.OSS_USER_PRIORITIES.COC,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.CLA,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.CLA,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.CLA,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.CLA,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.CLA,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.CLA,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,Very important to have,Very important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Don't know what this is,Don't know what this is
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Not important either way,Not important either way
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Very important not to have,Very important not to have
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,Very important to have,Very important to have
LIKERT.SEEK_OPEN_SOURCE,Always,Always
LIKERT.SEEK_OPEN_SOURCE,Never,Never
LIKERT.SEEK_OPEN_SOURCE,Rarely,Rarely
LIKERT.SEEK_OPEN_SOURCE,Sometimes,Sometimes
POSNEG.OSS_UX,About the same,About the same
POSNEG.OSS_UX,Generally easier to use,Generally easier to use
POSNEG.OSS_UX,Generally harder to use,Generally harder to use
POSNEG.OSS_SECURITY,About the same,About the same
POSNEG.OSS_SECURITY,Generally less secure,Generally less secure
POSNEG.OSS_SECURITY,Generally more secure,Generally more secure
POSNEG.OSS_STABILITY,About the same,About the same
POSNEG.OSS_STABILITY,Generally less stable,Generally less stable
POSNEG.OSS_STABILITY,Generally more stable,Generally more stable
POSNEG.INTERNAL_EFFICACY,Neither agree nor disagree,Neither agree nor disagree
POSNEG.INTERNAL_EFFICACY,Somewhat agree,Somewhat agree
POSNEG.INTERNAL_EFFICACY,Somewhat disagree,Somewhat disagree
POSNEG.INTERNAL_EFFICACY,Strongly agree,Strongly agree
POSNEG.INTERNAL_EFFICACY,Strongly disagree,Strongly disagree
POSNEG.EXTERNAL_EFFICACY,Neither agree nor disagree,Neither agree nor disagree
POSNEG.EXTERNAL_EFFICACY,Somewhat agree,Somewhat agree
POSNEG.EXTERNAL_EFFICACY,Somewhat disagree,Somewhat disagree
POSNEG.EXTERNAL_EFFICACY,Strongly agree,Strongly agree
POSNEG.EXTERNAL_EFFICACY,Strongly disagree,Strongly disagree
POSNEG.OSS_IDENTIFICATION,Neither agree nor disagree,Neither agree nor disagree
POSNEG.OSS_IDENTIFICATION,Somewhat agree,Somewhat agree
POSNEG.OSS_IDENTIFICATION,Somewhat disagree,Somewhat disagree
POSNEG.OSS_IDENTIFICATION,Strongly agree,Strongly agree
POSNEG.OSS_IDENTIFICATION,Strongly disagree,Strongly disagree
LIKERT.USER_VALUES.STABILITY,Extremely important,Extremely important
LIKERT.USER_VALUES.STABILITY,Moderately important,Moderately important
LIKERT.USER_VALUES.STABILITY,Not at all important,Not at all important
LIKERT.USER_VALUES.STABILITY,Slightly important,Slightly important
LIKERT.USER_VALUES.STABILITY,Very important,Very important
LIKERT.USER_VALUES.INNOVATION,Extremely important,Extremely important
LIKERT.USER_VALUES.INNOVATION,Moderately important,Moderately important
LIKERT.USER_VALUES.INNOVATION,Not at all important,Not at all important
LIKERT.USER_VALUES.INNOVATION,Slightly important,Slightly important
LIKERT.USER_VALUES.INNOVATION,Very important,Very important
LIKERT.USER_VALUES.REPLICABILITY,Extremely important,Extremely important
LIKERT.USER_VALUES.REPLICABILITY,Moderately important,Moderately important
LIKERT.USER_VALUES.REPLICABILITY,Not at all important,Not at all important
LIKERT.USER_VALUES.REPLICABILITY,Slightly important,Slightly important
LIKERT.USER_VALUES.REPLICABILITY,Very important,Very important
LIKERT.USER_VALUES.COMPATIBILITY,Extremely important,Extremely important
LIKERT.USER_VALUES.COMPATIBILITY,Moderately important,Moderately important
LIKERT.USER_VALUES.COMPATIBILITY,Not at all important,Not at all important
LIKERT.USER_VALUES.COMPATIBILITY,Slightly important,Slightly important
LIKERT.USER_VALUES.COMPATIBILITY,Very important,Very important
LIKERT.USER_VALUES.SECURITY,Extremely important,Extremely important
LIKERT.USER_VALUES.SECURITY,Moderately important,Moderately important
LIKERT.USER_VALUES.SECURITY,Not at all important,Not at all important
LIKERT.USER_VALUES.SECURITY,Slightly important,Slightly important
LIKERT.USER_VALUES.SECURITY,Very important,Very important
LIKERT.USER_VALUES.COST,Extremely important,Extremely important
LIKERT.USER_VALUES.COST,Moderately important,Moderately important
LIKERT.USER_VALUES.COST,Not at all important,Not at all important
LIKERT.USER_VALUES.COST,Slightly important,Slightly important
LIKERT.USER_VALUES.COST,Very important,Very important
LIKERT.USER_VALUES.TRANSPARENCY,Extremely important,Extremely important
LIKERT.USER_VALUES.TRANSPARENCY,Moderately important,Moderately important
LIKERT.USER_VALUES.TRANSPARENCY,Not at all important,Not at all important
LIKERT.USER_VALUES.TRANSPARENCY,Slightly important,Slightly important
LIKERT.USER_VALUES.TRANSPARENCY,Very important,Very important
LIKERT.USER_VALUES.USER_EXPERIENCE,Extremely important,Extremely important
LIKERT.USER_VALUES.USER_EXPERIENCE,Moderately important,Moderately important
LIKERT.USER_VALUES.USER_EXPERIENCE,Not at all important,Not at all important
LIKERT.USER_VALUES.USER_EXPERIENCE,Slightly important,Slightly important
LIKERT.USER_VALUES.USER_EXPERIENCE,Very important,Very important
LIKERT.USER_VALUES.CUSTOMIZABILITY,Extremely important,Extremely important
LIKERT.USER_VALUES.CUSTOMIZABILITY,Moderately important,Moderately important
LIKERT.USER_VALUES.CUSTOMIZABILITY,Not at all important,Not at all important
LIKERT.USER_VALUES.CUSTOMIZABILITY,Slightly important,Slightly important
LIKERT.USER_VALUES.CUSTOMIZABILITY,Very important,Very important
LIKERT.USER_VALUES.SUPPORT,Extremely important,Extremely important
LIKERT.USER_VALUES.SUPPORT,Moderately important,Moderately important
LIKERT.USER_VALUES.SUPPORT,Not at all important,Not at all important
LIKERT.USER_VALUES.SUPPORT,Slightly important,Slightly important
LIKERT.USER_VALUES.SUPPORT,Very important,Very important
LIKERT.USER_VALUES.TRUSTED_PRODUCER,Extremely important,Extremely important
LIKERT.USER_VALUES.TRUSTED_PRODUCER,Moderately important,Moderately important
LIKERT.USER_VALUES.TRUSTED_PRODUCER,Not at all important,Not at all important
LIKERT.USER_VALUES.TRUSTED_PRODUCER,Slightly important,Slightly important
LIKERT.USER_VALUES.TRUSTED_PRODUCER,Very important,Very important
BIN.TRANSPARENCY_PRIVACY_BELIEFS,"People should be able to contribute code without attribution, if they wish to remain anonymous.","People should be able to contribute code without attribution, if they wish to remain anonymous."
BIN.TRANSPARENCY_PRIVACY_BELIEFS,Records of authorship should be required so that end users know who created the source code they are working with.,Records of authorship should be required so that end users know who created the source code they are working with.
LIKERT.INFO_AVAILABILITY,A lot of information about me,A lot of information about me
LIKERT.INFO_AVAILABILITY,A small amount of information about me,A little information about me
LIKERT.INFO_AVAILABILITY,No information at all about me,No information at all about me
LIKERT.INFO_AVAILABILITY,Some information about me,Some information about me
BIN.INFO_JOB,No,No
BIN.INFO_JOB,Yes,Yes
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_GENERAL,I don't publish this kind of content online.,I don't publish this kind of content online.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_GENERAL,I include my real name.,I include my real name.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_GENERAL,I take precautions to use different pseudonymns on different platforms.,I take precautions to use different pseudonymns on different platforms.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_GENERAL,I usually use a consistent pseudonym that is easily linked to my real name online.,I usually use a consistent pseudonym that is easily linked to my real name online.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_GENERAL,I usually use a consistent pseudonym that is not linked anywhere with my real name online.,I usually use a consistent pseudonym that is not linked anywhere with my real name online.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_OSS,I include my real name.,I include my real name.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_OSS,I take precautions to use different pesudonymns in different projects.,"I take precautions to use different usernames  in different projects."
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_OSS,I usually contribute using a consistent pseudonym that is easily linked to my real name online.,I usually contribute using a consistent pseudonym that is easily linked to my real name online.
LIKERT.TRANSPARENCY_PRIVACY_PRACTICES_OSS,I usually contribute using a consistent pseudonym that is not linked anywhere with my real name online.,"I usually contribute using a consistent pseudonym that is not linked anywhere with my real name online. "
BIN.RECEIVED_HELP,No,No
BIN.RECEIVED_HELP,Yes,Yes
MULT.FIND_HELPER,I asked a specific person for help.,I asked a specific person for help.
MULT.FIND_HELPER,"I asked for help in a public forum (e.g. in a GitHub issue/pull request, project mailing list, etc.) and someone responded.","I asked for help in a public forum (e.g. in a GitHub Issue, project mailing list, etc.) and someone responded."
MULT.FIND_HELPER,Other (please describe),Other - Please describe
MULT.FIND_HELPER,Someone offered me unsolicited help.,Someone offered me unsolicited help.
LIKERT.HELPER_PRIOR_RELATIONSHIP,"I knew of them through their contributions to projects, but didn't know them personally.","I knew of them through their contributions to projects, but didn't know them personally."
LIKERT.HELPER_PRIOR_RELATIONSHIP,"Total strangers, I didn't know of them previously.","Total strangers, I didn't know of them previously."
LIKERT.HELPER_PRIOR_RELATIONSHIP,We knew each other a little.,We knew each other a little.
LIKERT.HELPER_PRIOR_RELATIONSHIP,We knew each other well.,We knew each other well.
MULT.RECEIVED_HELP_TYPE,Installing or using an application.,Installing or using an application.
MULT.RECEIVED_HELP_TYPE,Introductions to other people.,Introductions to other people
MULT.RECEIVED_HELP_TYPE,Other (please describe),Other (please describe)
MULT.RECEIVED_HELP_TYPE,"Understanding community norms (e.g. how to submit a contribution, how to communicate effectively).","Understanding community norms (e.g. how to submit a contribution, how to communicate effectively)."
MULT.RECEIVED_HELP_TYPE,Writing code or otherwise implementing ideas.,Writing code or otherwise implementing ideas.
BIN.PROVIDED_HELP,No,No
BIN.PROVIDED_HELP,Yes,Yes
MULT.FIND_HELPEE,I reached out to them to offer unsolicited help.,I reached out to them to offer unsolicited help.
MULT.FIND_HELPEE,Other (please describe),Other (please describe)
MULT.FIND_HELPEE,"They asked for help in a public forum (e.g. in a GitHub Issue/pull request, project mailing list, etc.) and I responded.","They asked for help in a public forum (e.g. in a GitHub Issue, project mailing list, etc.) and I responded."
MULT.FIND_HELPEE,They asked me directly for help.,They asked me directly for help.
LIKERT.HELPEE_PRIOR_RELATIONSHIP,"I knew of them through their contributions to projects, but didn't know them personally.","I knew of them through their contributions to projects, but didn't know them personally."
LIKERT.HELPEE_PRIOR_RELATIONSHIP,"Total strangers, I didn't know of them previously.","Total strangers, I didn't know of them previously."
LIKERT.HELPEE_PRIOR_RELATIONSHIP,We knew each other a little.,"We knew each other  a little."
LIKERT.HELPEE_PRIOR_RELATIONSHIP,We knew each other well.,We knew each other well.
MULT.PROVIDED_HELP_TYPE,Installing or using an application,Installing or using an application.
MULT.PROVIDED_HELP_TYPE,Introductions to other people,Introductions to other people.
MULT.PROVIDED_HELP_TYPE,Other (please describe),Other (please describe)
MULT.PROVIDED_HELP_TYPE,"Understanding community norms (e.g. how to submit a contribution, how to communicate effectively)","Understanding community norms (e.g. how to submit a contribution, how to communicate effectively)."
MULT.PROVIDED_HELP_TYPE,Writing code or otherwise implementing ideas,Writing code or otherwise implementing ideas.
BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,No,No
BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,Yes,Yes
BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,No,No
BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,Yes,Yes
BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,No,No
BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,Yes,Yes
BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,No,No
BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,Yes,Yes
BIN.DISCOURAGING_BEHAVIOR.CONFLICT,No,No
BIN.DISCOURAGING_BEHAVIOR.CONFLICT,Yes,Yes
BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,No,No
BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,Yes,Yes
ONEHOT.NEGATIVE_WITNESS.NONE_OF_THE_ABOVE,None of the above,1
ONEHOT.NEGATIVE_WITNESS.RUDENESS,Hostility or rudeness,1
ONEHOT.NEGATIVE_WITNESS.NAME_CALLING,Name calling,1
ONEHOT.NEGATIVE_WITNESS.THREATS,Threats of violence,1
ONEHOT.NEGATIVE_WITNESS.IMPERSONATION,Impersonation,1
ONEHOT.NEGATIVE_WITNESS.SUSTAINED_HARASSMENT,Harassment over a sustained period,1
ONEHOT.NEGATIVE_WITNESS.CROSS_PLATFORM_HARASSMENT,Harassment across multiple platforms,1
ONEHOT.NEGATIVE_WITNESS.STALKING,Stalking,1
ONEHOT.NEGATIVE_WITNESS.SEXUAL_ADVANCES,Unsolicited sexual advances or comments,1
ONEHOT.NEGATIVE_WITNESS.STEREOTYPING,Stereotyping based on perceived demographic characteristics,1
ONEHOT.NEGATIVE_WITNESS.DOXXING,Malicious publication of personal information (doxxing),1
ONEHOT.NEGATIVE_EXPERIENCE.NONE_OF_THE_ABOVE,None of the above,1
ONEHOT.NEGATIVE_EXPERIENCE.RUDENESS,Hostility or rudeness,1
ONEHOT.NEGATIVE_EXPERIENCE.NAME_CALLING,Name calling,1
ONEHOT.NEGATIVE_EXPERIENCE.THREATS,Threats of violence,1
ONEHOT.NEGATIVE_EXPERIENCE.IMPERSONATION,Impersonation,1
ONEHOT.NEGATIVE_EXPERIENCE.SUSTAINED_HARASSMENT,Harassment over a sustained period,1
ONEHOT.NEGATIVE_EXPERIENCE.CROSS_PLATFORM_HARASSMENT,Harassment across multiple platforms,1
ONEHOT.NEGATIVE_EXPERIENCE.STALKING,Stalking,1
ONEHOT.NEGATIVE_EXPERIENCE.SEXUAL_ADVANCES,Unsolicited sexual advances or comments,1
ONEHOT.NEGATIVE_EXPERIENCE.STEREOTYPING,Stereotyping based on perceived demographic characteristics,1
ONEHOT.NEGATIVE_EXPERIENCE.DOXXING,Malicious publication of personal information (doxxing),1
ONEHOT.NEGATIVE_RESPONSE.IGNORED,I did not react / ignored the incident,1
ONEHOT.NEGATIVE_RESPONSE.ASKED_USER_TO_STOP,Asked the user(s) to stop the harassing behavior,1
ONEHOT.NEGATIVE_RESPONSE.SOLICITED_COMMUNITY_SUPPORT,Solicited support from other community members,1
ONEHOT.NEGATIVE_RESPONSE.BLOCKED_USER,Blocked the user(s) harassing me,1
